standard_material_id,standard_code,canonical_name,category,material,grade,specifications,canonical_unit,synthetic_data_notice
SYN-CAN-001,SYN-FST-M6-24-G46,Hex Head Bolt M6 x 24 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M6; length 24 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-002,SYN-FST-M6-30-G88,Hex Head Bolt M6 x 30 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M6; length 30 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-003,SYN-FST-M6-36-G109,Hex Head Bolt M6 x 36 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M6; length 36 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-004,SYN-FST-M6-42-G129,Hex Head Bolt M6 x 42 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M6; length 42 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-005,SYN-FST-M8-32-G46,Hex Head Bolt M8 x 32 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M8; length 32 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-006,SYN-FST-M8-40-G88,Hex Head Bolt M8 x 40 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M8; length 40 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-007,SYN-FST-M8-48-G109,Hex Head Bolt M8 x 48 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M8; length 48 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-008,SYN-FST-M8-56-G129,Hex Head Bolt M8 x 56 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M8; length 56 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-009,SYN-FST-M10-40-G46,Hex Head Bolt M10 x 40 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M10; length 40 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-010,SYN-FST-M10-50-G88,Hex Head Bolt M10 x 50 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M10; length 50 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-011,SYN-FST-M10-60-G109,Hex Head Bolt M10 x 60 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M10; length 60 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-012,SYN-FST-M10-70-G129,Hex Head Bolt M10 x 70 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M10; length 70 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-013,SYN-FST-M12-48-G46,Hex Head Bolt M12 x 48 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M12; length 48 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-014,SYN-FST-M12-60-G88,Hex Head Bolt M12 x 60 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M12; length 60 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-015,SYN-FST-M12-72-G109,Hex Head Bolt M12 x 72 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M12; length 72 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-016,SYN-FST-M12-84-G129,Hex Head Bolt M12 x 84 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M12; length 84 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-017,SYN-FST-M14-56-G46,Hex Head Bolt M14 x 56 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M14; length 56 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-018,SYN-FST-M14-70-G88,Hex Head Bolt M14 x 70 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M14; length 70 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-019,SYN-FST-M14-84-G109,Hex Head Bolt M14 x 84 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M14; length 84 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-020,SYN-FST-M14-98-G129,Hex Head Bolt M14 x 98 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M14; length 98 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-021,SYN-FST-M16-64-G46,Hex Head Bolt M16 x 64 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M16; length 64 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-022,SYN-FST-M16-80-G88,Hex Head Bolt M16 x 80 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M16; length 80 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-023,SYN-FST-M16-96-G109,Hex Head Bolt M16 x 96 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M16; length 96 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-024,SYN-FST-M16-112-G129,Hex Head Bolt M16 x 112 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M16; length 112 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-025,SYN-FST-M18-72-G46,Hex Head Bolt M18 x 72 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M18; length 72 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-026,SYN-FST-M18-90-G88,Hex Head Bolt M18 x 90 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M18; length 90 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
