record_id,cpse_name,local_material_code,description,category,supplied_unit,manufacturer,part_number,ground_truth_standard_material_id,ground_truth_standard_code,description_variant,hard_negative_standard_material_id,hard_negative_reason,synthetic_data_notice
SYN-REC-0001,Astra Petrochem Demo Corporation,LOC-FST-M6-24-G46-1,Hex Head Bolt M6 x 24 mm Grade 4.6,Fasteners,each,Synthetic Process Systems,DEMO-PN-001-1,SYN-CAN-001,SYN-FST-M6-24-G46,canonical_case,SYN-CAN-003,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0002,Bharat Thermal Demo Enterprise,LOC-FST-M6-24-G46-2,HEX BOLT M6 X 24MM CL 4.6,Fasteners,nos,DemoForge Industries,DEMO-PN-001-2,SYN-CAN-001,SYN-FST-M6-24-G46,abbreviation_capitalization,SYN-CAN-003,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0003,Dakshin Steel Demo Works,LOC-FST-M6-24-G46-3,"bolt, hex-head; 24 mm; M6; grade-4.6",Fasteners,No.,Prototype Engineering Supply,DEMO-PN-001-3,SYN-CAN-001,SYN-FST-M6-24-G46,punctuation_reordered,SYN-CAN-003,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0004,Narmada Power Demo Limited,LOC-FST-M6-24-G46-4,4.6 property class carbon steel hexagonal screw M6 24 mm,Fasteners,each,Prototype Engineering Supply,DEMO-PN-001-4,SYN-CAN-001,SYN-FST-M6-24-G46,equivalent_terminology,SYN-CAN-003,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0005,Vindhya Engineering Demo Services,LOC-FST-M6-24-G46-5,Hex bolt M6 length 24 mm; verify grade 4.6,Fasteners,pcs,Prototype Engineering Supply,DEMO-PN-001-5,SYN-CAN-001,SYN-FST-M6-24-G46,near_duplicate_dimension,SYN-CAN-003,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0006,Bharat Thermal Demo Enterprise,LOC-FST-M6-30-G88-1,Hex Head Bolt M6 x 30 mm Grade 8.8,Fasteners,each,Prototype Engineering Supply,DEMO-PN-002-1,SYN-CAN-002,SYN-FST-M6-30-G88,canonical_case,SYN-CAN-004,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0007,Dakshin Steel Demo Works,LOC-FST-M6-30-G88-2,HEX BOLT M6 X 30MM CL 8.8,Fasteners,nos,Synthetic Process Systems,DEMO-PN-002-2,SYN-CAN-002,SYN-FST-M6-30-G88,abbreviation_capitalization,SYN-CAN-004,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0008,Narmada Power Demo Limited,LOC-FST-M6-30-G88-3,"bolt, hex-head; 30 mm; M6; grade-8.8",Fasteners,No.,Synthetic Process Systems,DEMO-PN-002-3,SYN-CAN-002,SYN-FST-M6-30-G88,punctuation_reordered,SYN-CAN-004,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0009,Vindhya Engineering Demo Services,LOC-FST-M6-30-G88-4,8.8 property class carbon steel hexagonal screw M6 30 mm,Fasteners,each,Prototype Engineering Supply,DEMO-PN-002-4,SYN-CAN-002,SYN-FST-M6-30-G88,equivalent_terminology,SYN-CAN-004,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0010,Astra Petrochem Demo Corporation,LOC-FST-M6-30-G88-5,Hex bolt M6 length 30 mm; verify grade 8.8,Fasteners,pcs,Synthetic Process Systems,DEMO-PN-002-5,SYN-CAN-002,SYN-FST-M6-30-G88,near_duplicate_dimension,SYN-CAN-004,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
